maxPercentage;minPercentage;grade;points
100;100;Sehr gut +;0
99;95;Sehr gut;0
94;90;Sehr gut -;0
89;85;Gut +;0
84;80;Gut;0
79;75;Gut -;0
75;70;Befriedigend +;0
70;65;Befriedigend;0
64;60;Befriedigend -;0
59;55;Ausreichend +;0
54;50;Ausreichend;0
49;45;Ausreichend -;0
44;40;Mangelhaft +;0
39;30;Mangelhaft;0
29;20;Mangelhaft -;0
19;0;Ungenügend;0
